Tweet,Sentiment,Casefolding,Cleansing,Tokenizing,Stopword,Stemming,Dataclean
"@javminded Urusan kebocoran data pengguna itu nomor sekian, giliran ginian cepet. emang itu kementrian isinya orang2 gubluk bin tolol",negative,"@javminded urusan kebocoran data pengguna itu nomor sekian, giliran ginian cepet. emang itu kementrian isinya orang2 gubluk bin tolol", urusan kebocoran data pengguna itu nomor sekian  giliran ginian cepet  emang itu kementrian isinya orang gubluk bin tolol,"['urusan', 'kebocoran', 'data', 'pengguna', 'itu', 'nomor', 'sekian', 'giliran', 'ginian', 'cepet', 'emang', 'itu', 'kementrian', 'isinya', 'orang', 'gubluk', 'bin', 'tolol']","['urusan', 'kebocoran', 'data', 'pengguna', 'nomor', 'sekian', 'giliran', 'ginian', 'cepet', 'emang', 'kementrian', 'isinya', 'orang', 'gubluk', 'bin', 'tolol']","['urus', 'bocor', 'data', 'guna', 'nomor', 'sekian', 'gilir', 'ginian', 'cepet', 'emang', 'tri', 'isi', 'orang', 'gubluk', 'bin', 'tolol']","@ j a v m i n d e d   U r u s a n   k e b o c o r a n   d a t a   p e n g g u n a   i t u   n o m o r   s e k i a n ,   g i l i r a n   g i n i a n   c e p e t .   e m a n g   i t u   k e m e n t r i a n   i s i n y a   o r a n g 2   g u b l u k   b i n   t o l o l"
"Pada dasarnya #bjorka hanya orang tolol yang cari perhatian ????????
Ngapain lu sok2an nyebar kebocoran data Indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah.  ????????",negative,"pada dasarnya #bjorka hanya orang tolol yang cari perhatian ????????
ngapain lu sok2an nyebar kebocoran data indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah.  ????????",pada dasarnya bjorka hanya orang tolol yang cari perhatian          ngapain lu sokan nyebar kebocoran data indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah          ,"['pada', 'dasarnya', 'bjorka', 'hanya', 'orang', 'tolol', 'yang', 'cari', 'perhatian', 'ngapain', 'lu', 'sokan', 'nyebar', 'kebocoran', 'data', 'indonesia', 'yg', 'security', 'nya', 'lemah', 'dan', 'pada', 'dasarnya', 'udah', 'bocor', 'sebelum', 'lu', 'berulah']","['dasarnya', 'bjorka', 'orang', 'tolol', 'cari', 'perhatian', 'ngapain', 'lu', 'sokan', 'nyebar', 'kebocoran', 'data', 'indonesia', 'security', 'lemah', 'dasarnya', 'udah', 'bocor', 'lu', 'berulah']","['dasar', 'bjorka', 'orang', 'tolol', 'cari', 'perhati', 'ngapain', 'lu', 'sok', 'nyebar', 'bocor', 'data', 'indonesia', 'security', 'lemah', 'dasar', 'udah', 'bocor', 'lu', 'ulah']","P a d a   d a s a r n y a   # b j o r k a   h a n y a   o r a n g   t o l o l   y a n g   c a r i   p e r h a t i a n   ? ? ? ? ? ? ? ? 
 N g a p a i n   l u   s o k 2 a n   n y e b a r   k e b o c o r a n   d a t a   I n d o n e s i a   y g   s e c u r i t y   n y a   l e m a h   d a n   p a d a   d a s a r n y a   u d a h   b o c o r   s e b e l u m   l u   b e r u l a h .     ? ? ? ? ? ? ? ?"
"@cauliflower1006 @folktrade @Askrlfess Iya mbak, namanya juga masyarakat kita sekarang lagi pd kecewa2 nya sama pemerintah gara2 bbm dinaikin, kasus sambo, belum lg yg kebocoran data, digiring opini sedikit ya udh duaarr???
Padahal udh dr dulu jg shell s",negative,"@cauliflower1006 @folktrade @askrlfess iya mbak, namanya juga masyarakat kita sekarang lagi pd kecewa2 nya sama pemerintah gara2 bbm dinaikin, kasus sambo, belum lg yg kebocoran data, digiring opini sedikit ya udh duaarr???
padahal udh dr dulu jg shell s", iya mbak  namanya juga masyarakat kita sekarang lagi pd kecewa nya sama pemerintah gara bbm dinaikin  kasus sambo  belum lg yg kebocoran data  digiring opini sedikit ya udh duaarr     padahal udh dr dulu jg shell s,"['iya', 'mbak', 'namanya', 'juga', 'masyarakat', 'kita', 'sekarang', 'lagi', 'pd', 'kecewa', 'nya', 'sama', 'pemerintah', 'gara', 'bbm', 'dinaikin', 'kasus', 'sambo', 'belum', 'lg', 'yg', 'kebocoran', 'data', 'digiring', 'opini', 'sedikit', 'ya', 'udh', 'duaarr', 'padahal', 'udh', 'dr', 'dulu', 'jg', 'shell', 's']","['iya', 'mbak', 'namanya', 'masyarakat', 'pd', 'kecewa', 'pemerintah', 'gara', 'bbm', 'dinaikin', 'sambo', 'kebocoran', 'data', 'digiring', 'opini', 'duaarr', 'shell']","['iya', 'mbak', 'nama', 'masyarakat', 'pd', 'kecewa', 'perintah', 'gara', 'bbm', 'dinaikin', 'sambo', 'bocor', 'data', 'giring', 'opini', 'duaarr', 'shell']","@ c a u l i f l o w e r 1 0 0 6   @ f o l k t r a d e   @ A s k r l f e s s   I y a   m b a k ,   n a m a n y a   j u g a   m a s y a r a k a t   k i t a   s e k a r a n g   l a g i   p d   k e c e w a 2   n y a   s a m a   p e m e r i n t a h   g a r a 2   b b m   d i n a i k i n ,   k a s u s   s a m b o ,   b e l u m   l g   y g   k e b o c o r a n   d a t a ,   d i g i r i n g   o p i n i   s e d i k i t   y a   u d h   d u a a r r ? ? ?  
 P a d a h a l   u d h   d r   d u l u   j g   s h e l l   s"
"Seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi....

Sekarang semakin melebar kan banyak idol lain juga kena",negative,"seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi....

sekarang semakin melebar kan banyak idol lain juga kena",seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi     sekarang semakin melebar kan banyak idol lain juga kena,"['seperti', 'yg', 'gw', 'bilang', 'fokus', 'disini', 'tuh', 'emang', 'harusnya', 'soal', 'kebocoran', 'data', 'pribadi', 'sekarang', 'semakin', 'melebar', 'kan', 'banyak', 'idol', 'lain', 'juga', 'kena']","['fokus', 'emang', 'kebocoran', 'data', 'pribadi', 'melebar', 'idol', 'kena']","['fokus', 'emang', 'bocor', 'data', 'pribadi', 'lebar', 'idol', 'kena']","S e p e r t i   y g   g w   b i l a n g   f o k u s   d i s i n i   t u h   e m a n g   h a r u s n y a   s o a l   k e b o c o r a n   d a t a   p r i b a d i . . . . 
 
 S e k a r a n g   s e m a k i n   m e l e b a r   k a n   b a n y a k   i d o l   l a i n   j u g a   k e n a"
kebocoran data :( https://t.co/jhjl4k4jBf,negative,kebocoran data :( https://t.co/jhjl4k4jbf,kebocoran data    ,"['kebocoran', 'data']","['kebocoran', 'data']","['bocor', 'data']",k e b o c o r a n   d a t a   : (   h t t p s : / / t . c o / j h j l 4 k 4 j B f
"@AswinDafry Kebocoran data bs dr mana aja sih, padahal ga pernah pake pinjol ilegal. Satu2nya pinjol cm kredivo doang.",negative,"@aswindafry kebocoran data bs dr mana aja sih, padahal ga pernah pake pinjol ilegal. satu2nya pinjol cm kredivo doang.", kebocoran data bs dr mana aja sih  padahal ga pernah pake pinjol ilegal  satunya pinjol cm kredivo doang ,"['kebocoran', 'data', 'bs', 'dr', 'mana', 'aja', 'sih', 'padahal', 'ga', 'pernah', 'pake', 'pinjol', 'ilegal', 'satunya', 'pinjol', 'cm', 'kredivo', 'doang']","['kebocoran', 'data', 'bs', 'pake', 'pinjol', 'ilegal', 'satunya', 'pinjol', 'kredivo', 'doang']","['bocor', 'data', 'bs', 'pake', 'pinjol', 'ilegal', 'satu', 'pinjol', 'kredivo', 'doang']","@ A s w i n D a f r y   K e b o c o r a n   d a t a   b s   d r   m a n a   a j a   s i h ,   p a d a h a l   g a   p e r n a h   p a k e   p i n j o l   i l e g a l .   S a t u 2 n y a   p i n j o l   c m   k r e d i v o   d o a n g ."
Kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan @kemkominfo @PlateJohnny https://t.co/9RZueYfy9P,negative,kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan @kemkominfo @platejohnny https://t.co/9rzueyfy9p,kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan ,"['kebocoran', 'data', 'bisa', 'berdampak', 'pada', 'kejahatan', 'siber', 'lain', 'yang', 'merugikan', 'seperti', 'kejahatan', 'transaksi', 'keuangan']","['kebocoran', 'data', 'berdampak', 'kejahatan', 'siber', 'merugikan', 'kejahatan', 'transaksi', 'keuangan']","['bocor', 'data', 'dampak', 'jahat', 'siber', 'rugi', 'jahat', 'transaksi', 'uang']",K e b o c o r a n   d a t a   b i s a   b e r d a m p a k   p a d a   k e j a h a t a n   s i b e r   l a i n   y a n g   m e r u g i k a n   s e p e r t i   k e j a h a t a n   t r a n s a k s i   k e u a n g a n   @ k e m k o m i n f o   @ P l a t e J o h n n y   h t t p s : / / t . c o / 9 R Z u e Y f y 9 P
"Sikampret keknya gegara kebocoran data, akun steam gw dicoba dibobol orang, 2 kali

Two-factor authentication emang perlu banget sekarang dipake di akun mana aja https://t.co/B8dNpRle8Y",negative,"sikampret keknya gegara kebocoran data, akun steam gw dicoba dibobol orang, 2 kali

two-factor authentication emang perlu banget sekarang dipake di akun mana aja https://t.co/b8dnprle8y",sikampret keknya gegara kebocoran data  akun steam gw dicoba dibobol orang   kali two factor authentication emang perlu banget sekarang dipake di akun mana aja ,"['sikampret', 'keknya', 'gegara', 'kebocoran', 'data', 'akun', 'steam', 'gw', 'dicoba', 'dibobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'perlu', 'banget', 'sekarang', 'dipake', 'di', 'akun', 'mana', 'aja']","['sikampret', 'keknya', 'gegara', 'kebocoran', 'data', 'akun', 'steam', 'dicoba', 'dibobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'banget', 'dipake', 'akun']","['sikampret', 'kek', 'gegara', 'bocor', 'data', 'akun', 'steam', 'coba', 'bobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'banget', 'dipake', 'akun']","S i k a m p r e t   k e k n y a   g e g a r a   k e b o c o r a n   d a t a ,   a k u n   s t e a m   g w   d i c o b a   d i b o b o l   o r a n g ,   2   k a l i 
 
 T w o - f a c t o r   a u t h e n t i c a t i o n   e m a n g   p e r l u   b a n g e t   s e k a r a n g   d i p a k e   d i   a k u n   m a n a   a j a   h t t p s : / / t . c o / B 8 d N p R l e 8 Y"
@yourpadawann @mouldie_sep Kebocoran sejumlah websiteƒ? indo jadi ikut andil buat kebocoran data.,negative,@yourpadawann @mouldie_sep kebocoran sejumlah websiteƒ? indo jadi ikut andil buat kebocoran data., kebocoran sejumlah website    indo jadi ikut andil buat kebocoran data ,"['kebocoran', 'sejumlah', 'website', 'indo', 'jadi', 'ikut', 'andil', 'buat', 'kebocoran', 'data']","['kebocoran', 'website', 'indo', 'andil', 'kebocoran', 'data']","['bocor', 'website', 'indo', 'andil', 'bocor', 'data']",@ y o u r p a d a w a n n   @ m o u l d i e _ s e p   K e b o c o r a n   s e j u m l a h   w e b s i t e ƒ ?    i n d o   j a d i   i k u t   a n d i l   b u a t   k e b o c o r a n   d a t a .
"Criminal Minds: memanfaatkan kebocoran data melalui big data. 

KBI 2022 @idBigData https://t.co/suMvXTFyiH",negative,"criminal minds: memanfaatkan kebocoran data melalui big data. 

kbi 2022 @idbigdata https://t.co/sumvxtfyih",criminal minds  memanfaatkan kebocoran data melalui big data  kbi  ,"['criminal', 'minds', 'memanfaatkan', 'kebocoran', 'data', 'melalui', 'big', 'data', 'kbi']","['criminal', 'minds', 'memanfaatkan', 'kebocoran', 'data', 'big', 'data', 'kbi']","['criminal', 'minds', 'manfaat', 'bocor', 'data', 'big', 'data', 'kbi']","C r i m i n a l   M i n d s :   m e m a n f a a t k a n   k e b o c o r a n   d a t a   m e l a l u i   b i g   d a t a .   
 
 K B I   2 0 2 2   @ i d B i g D a t a   h t t p s : / / t . c o / s u M v X T F y i H"
