Tweet,Sentiment
"@javminded Urusan kebocoran data pengguna itu nomor sekian, giliran ginian cepet. emang itu kementrian isinya orang2 gubluk bin tolol",negative
"Pada dasarnya #bjorka hanya orang tolol yang cari perhatian ????????
Ngapain lu sok2an nyebar kebocoran data Indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah.  ????????",negative
"@cauliflower1006 @folktrade @Askrlfess Iya mbak, namanya juga masyarakat kita sekarang lagi pd kecewa2 nya sama pemerintah gara2 bbm dinaikin, kasus sambo, belum lg yg kebocoran data, digiring opini sedikit ya udh duaarr???Å
Padahal udh dr dulu jg shell s",negative
"Seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi....

Sekarang semakin melebar kan banyak idol lain juga kena",negative
kebocoran data :( https://t.co/jhjl4k4jBf,negative
"@AswinDafry Kebocoran data bs dr mana aja sih, padahal ga pernah pake pinjol ilegal. Satu2nya pinjol cm kredivo doang.",negative
Kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan @kemkominfo @PlateJohnny https://t.co/9RZueYfy9P,negative
"Sikampret keknya gegara kebocoran data, akun steam gw dicoba dibobol orang, 2 kali

Two-factor authentication emang perlu banget sekarang dipake di akun mana aja https://t.co/B8dNpRle8Y",negative
@yourpadawann @mouldie_sep Kebocoran sejumlah websiteÉ?ù indo jadi ikut andil buat kebocoran data.,negative
"Criminal Minds: memanfaatkan kebocoran data melalui big data. 

KBI 2022 @idBigData https://t.co/suMvXTFyiH",negative
"@idBigData Saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal. ????

Semoga dengan tahu cara pikir kriminal, kita bisa mengamankan diri sendiri, orang terdekat, dan publik dari para kriminal yg memanfaatkan kebocora",negative
"Last, but not Least! 
Mas @ismailfahmi dari Drone Emprit dan Media Kernels Indonesia membahas mengenai ""Criminal Mind: Memanfaatkan Kebocoran Data melalui Big Data""

#KonferensiBigDataIndonesia2022 #KBI2022 #idBigdata #BigData #ngulikbigdata https://t.co/thiLRSGRwb",negative
"Meresahkan sekali kebocoran data  dan spam di WhatsApp, tiap hari ada aja yg diblokir https://t.co/tyC8tHKDjG",negative
@CNNIndonesia Jadi isu kebocoran data gegara ulah Bjorka selamaini cuma prank bwat keluarin anggaran BSSN?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? ????????????,negative
@karirfess karena kebocoran data yg sering terjadi dimana mana kack,negative
"Pertanyaannya, e-KTP aja belum bisa dimanfaatkan sebagaimana ""elektronik"" kok malah bikin proyek baru KTP Digital? Gak takut kebocoran data lagi? Apa urgensinya? Apa roadmap kedepannya dengan adanya KTP Digital? Apakah e-KTP tidak bisa menyelesaikan masalah seperti KTP Digital?",negative
Kebocoran data is real bosku https://t.co/IDUu2APiym,negative
"Jangan mudah terprovokasi oleh isu kebocoran data pribadi, bersikaplah tenang dan jangan saling menyalahkan. https://t.co/f2bUJSzmys",negative
"Netizen tertipu oleh permainan rezim, issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran, berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran, rupanya ini dilakukan sebagai trik untuk menaikkan anggaran",negative
@CNNIndonesia BPKB elektronik....trus kebocoran data...trus dipake ngutang orang????,negative
"Bgmn tidak mau ada kebocoran data,kalau urus apa apa masih pakai fotocopy Dokumen pribadi dimana disitu ada Nik, No KK dll. Kalau langsung dibakar atau Dirajang tak masalah ,repotnya kalau dikiloin, dijual buat bungkus .",negative
"Gini ya. Buat siapapun yang merasa kebocoran data itu biasa, dan dalam UU PDP disebut data pribadi UMUM... Intinya kebocoran data itu BERHAYA! tolong pejabat, mentri, yang GA NGERTI JANGAN SOK NGERTI!. Ponakan saya, baru baru ini tiba tiba ada transaksi dari luar negeri",negative
Atau atleast kebocoran data bakal ditanggapi sebagai isu yang serius dan perlu ditangani secepatnya sebaik mungkin.,negative
@PresidenKopi Masih percaya kebocoran data karena di hack?,negative
"@remotivi Jadi lupa kebocoran data pribadi
Jadi lupa kasus sambo
Jadi lupa BBM naik",negative
oh jd mecima ikut andil di kasus kebocoran data pribadi https://t.co/wwtiYmt8J7,negative
"@nazaqistsha byorka pura?˝ jadi hacker, ntar departmen nganu pura?˝ kebocoran data, pihak yg kontra rejim diberangus suaranya di media, trus si pura?˝ hacker dan sejenisnya  dikambing hitamin",negative
"@PartaiSocmed Dan ketika mereka kebocoran,kita (masyarakat)yg disalahkan karna gak É??menjagaÉ?ùdata pribadi...
Bangke sekali",negative
@hyang_wisnu @PlateJohnny @kemkominfo @kemkominfo @PlateJohnny denda sebanyak-banyaknya supaya tidak ada yang meremehkan masalah kebocoran data.,negative
Polri Pastikan Tidak Ada Kebocoran Data di Internet https://t.co/ioFhqgnTBU https://t.co/k5jr0JIw6Y,negative
"Gini deh,
Perhatiin aja cukup jarang ada pernyataan aneh yg kesaannya ""ga siap untuk dijawab"" di podcast close the door.

Sementara kan kita tau, pemerintah tuh sering ga siap di tanya yg spontan. Org kasus kebocoran data aja jawabnya ""kalau bisa hacker jangan menyerang""",negative
"@amourtir Kebocoran data pribadi siapa yg bertanggung jwb ,,,,",negative
Gitu kok masih ada yang heran kenapa kebocoran data di indo kok gampang banget ya? Id aha dibilang sampah dan dibuang gitu aja????É?ç???? padahal harusnya dihancurin/dibakar https://t.co/TVHpZVDjj1,negative
"isu awal bulan ini kebocoran dta tuh, kita sudah dibutakan oleh kemampuan si bjorka while data permanen kita bocor, alis data yg emang ga bakal bisa kita ubah. yg jadi masalah juga di awal ialah dimana pihak kedua yaitu pemerintah menggunakan kekuasaanny-

https://t.co/uIKCyLmcPA https://t.co/lhIYgAT5JR",negative
"@hellkugz @Gladislagiwoy @AnisaRizkiyaL @Dennysiregar7 Kebocoran pasti ada info dari dalam Bozz,,spt waktu kayanya ada kebocoran data yg dulu itu ternyata orang dalem Telkomsel yg ksh data, ngakunya aja hacker hebat, trnyta cuma dibayar 5jt sama Haikal Ha",negative
"@bukanBeatricemu @jogjamnfs well, sebenarnya itulah salah satu efek dari kebocoran data yang udah-udah",negative
@Cintada16 Berarti benar ada kebocoran data.,negative
"Melindungi?ˇdata pribadi?ˇsangatlah penting, mengingat akhir-akhir ini maraknya kasus kebocoran data.

https://t.co/8YF3PMma3N",negative
"@gatotkacagovlog Kayanya kalo kena hack nggak deh, kan itu teknologi bawaan hpnya. Kebanyakan kasus itu kebocoran data pelanggan yg dipegang sama penyedia jasa atau kemkominfo. Soalnya mindah eSIM setau gw tetep perlu masuk ke settings, while kalo dicuri ",negative
Gini nih gara gara kebocoran data? Atau kerjaan syopi? https://t.co/4IX9IykGf9,negative
"Perlu difahami nih biar gak salah lagi, mengenai kebocoran data itu merupakan kewenangan BSSN bukan Kemkominfo lagi. https://t.co/e3S1UNf6Dm",negative
@bukannoval @sapireuw @ksandrashian Anjir kebocoran data ini wkwk,negative
"Bjorka itu kan cuman kambing hitam, padahal kebocoran data tsb sudah lama terjadi, berhubung sudah viral maka siapa lagi yg bisa di salahkan kalo bukan si kambing hitam. https://t.co/xWYksKZIOg",negative
Polri Tegaskan Isu Kebocoran 26 Juta Data Polisi Hoax &amp; Sudah Usang https://t.co/RMOnwuryiK,negative
"@hyang_wisnu @kemkominfo Semoga tidak akan ada lagi kasus kebocoran data dengan adanya UU PDP ini.
@kemkominfo @PlateJohnny",negative
"@hyang_wisnu @PlateJohnny Semoga dengan kejadian ini PSE bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari. 
@kemkominfo @PlateJohnny",negative
"Mengenai hal ini, bukan hanya sekedar tanggung jawab dari Kemkominfo saja, melainkan Kemendagri pun harus ikut bertanggung jawab atas terjadinya kebocoran data. https://t.co/l10eNupUd3",negative
Semoga dengan adanya tim ini dapat menangani kasus kebocoran data yang terjadi saat ini. https://t.co/eYNdUrcOfu,negative
"errrr, karena case kebocoran data kemaren2 itu, dukcapil jadi batesin registrasi kartu max jam 20.00 wib, ihhh gimana dong sales2 gue yang jualan malem ??ù˝",negative
"Kasus kebocoran data diindonesia sudah terjadi beberapa kali. Hal ini menandakan negara telah gagal dalam memberikan perlindungan kepada masyarakat, termasuk dalam hal keamanan data digital.
https://t.co/H4WQ02TwgB
#IslamKaffah",negative
"Mabes Polri Pastikan Dalami Dugaan Kebocoran 26 Juta Data Milik Anggota Polri
https://t.co/OIO3uMhkYn",negative
"Kebocoran data ini ga main2. Blm lama ada pasutri ketipu hampir 18jt cm krn si suami panik klo istrinya dpt tagihan puluhan juta.
Ndilalah emnk ada tabungan segitu. Dan lewat gt aja itu duit. Ckckck",negative
"Harus dibiasain ngesave nama org2 terdekat dgn namanya sendiri or singkatan.
Kebocoran data ini udh mesti diantisipasi dgn usaha apapun di diri sendiri emnk.",negative
"KEBOCORAN DATA PUBLIK, TANGGUNG JAWAB SIAPA? #Pojokaktivis https://t.co/TkJByx43XA",negative
"Di jaman digital yg internetnya lambat dikit lsg nlp customer service.
Udh jgn kagetan lg soal kebocoran data.
Udh parah ini bocornya.
Siapapun bisa punya foto KTP kalian bahkan temenAhok yg dulu ngumpulin KTP pun kalah sm sindikat ini.",negative
