Datetime,Tweet Id,Tweet,Lang,Username
2023-01-02 13:58:11+00:00,1609911938376691713,"Berdalih ga bisa buka kamera karena di lock pihak it
Karena pernah ada kebocoran data perusahaan

Damn aku percaya https://t.co/dejPXpstjt",in,separuhbintangg
2023-01-02 13:12:01+00:00,1609900321010061312,"Banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi Anda - https://t.co/Et1BPuBvcd https://t.co/oex8USVJhp",in,InfoKomputer
2023-01-02 08:04:01+00:00,1609822811044065284,"SoyaCincau BM

Siasatan Maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6bOEDEV",in,akmalarif90
2023-01-02 08:02:57+00:00,1609822541840846849,"Kebocoran data pun ada scammer sekarang. Tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/aBGQoVNLtU",in,SoyaCincauBM
2023-01-02 07:56:46+00:00,1609820985406152704,"2 kali kena semprot sama bos dikira belom bayar tagihan telkom 😒
Pdhal gara2 telkom kebocoran data ini nih. Elah.",in,bundanyasiwat
2023-01-02 04:27:03+00:00,1609768206532767745,"@bachrum_achmadi Nasdem Sama aja kadernya bego
ngurus kebocoran data aja GOBLOK",in,Gungun_65432
2023-01-02 02:49:03+00:00,1609743545979768839,Toyota India peringatkan kemungkinan kebocoran data pelanggan https://t.co/i9wAC8HTSv,in,antarabiz
2023-01-01 20:06:27+00:00,1609642226052919296,"Pake disambungin papa lagi ke kebocoran data. Takut nanti pemilu ada yg nelponin hape nya. Suruh milih kandidat tertentu.
Dulu pas papa ga mau pake hape tu, udh iyain aja yaa
Dikasi smartphone gini
Anaknya yg pusing filter informasi 😓😓
Panduan bedain hoax sama bukan ada ga si?",in,ericanabena
2023-01-01 12:25:51+00:00,1609526312183496704,Maybank sahkan isu kebocoran Data Peribadi Penggunanya adalah tidak benar #Maybank https://t.co/5lt9xa54JP,in,hteknologimy
2023-01-01 03:02:21+00:00,1609384503402991617,"[Otomasi Security Check/Testing]
Mulai banyak kebocoran data (saat ini sudah dialami). Awareness tentang keamanan data mulai muncul. Role Security Engineer akan menjadi seksi.
https://t.co/xKOUMouUTV
https://t.co/LaXGUFqEyC
https://t.co/6t2rVSimRZ https://t.co/ki3dFhS1Yl",in,pekerja_paksa
2023-01-01 02:40:06+00:00,1609378907383549952,"Maybank Mengesahkan Dakwaan Kebocoran Data Adalah Tidak Benar
https://t.co/0NXybjUKH2 https://t.co/VoJpVdm0PD",in,thevocket
2023-01-01 02:20:28+00:00,1609373965339987969,"“Kesimpulan penyiasatan terhadap dakwaan pihak ketiga mengenai kebocoran data pelanggan, @MyMaybank boleh mengesahkan bahawa dakwaan ini adalah palsu."" 
 https://t.co/P5MHcBOBrm via @suara_tv",in,suara_tv
