Datetime,Tweet,Casefolding,Remove_Special_Text,Tokenizing,Stopword,Stemming,Dataclean
2023-01-03 13:21:33+00:00,"Awas Kebocoran Data, Ini 7 Cara Mencegah Phishing https://t.co/ePBvk0rklg","awas kebocoran data, ini 7 cara mencegah phishing https://t.co/epbvk0rklg",awas kebocoran data  ini  cara mencegah phishing ,"['awas', 'kebocoran', 'data', 'ini', 'cara', 'mencegah', 'phishing']","['awas', 'kebocoran', 'data', 'mencegah', 'phishing']","['awas', 'bocor', 'data', 'cegah', 'phishing']",awas bocor data cegah phishing
2023-01-03 06:41:49+00:00,"Kebocoran data peribadi sangat meluas selang sehari ada saja panggilan scammer. 
sampai panggilan sebenar atau scammer pun susah nak pastikan.

@fahmi_fadzil @khairulanwarKA @anwaribrahim @MyDSA_official @saifnasution 

#TweetMasaDepan","kebocoran data peribadi sangat meluas selang sehari ada saja panggilan scammer. 
sampai panggilan sebenar atau scammer pun susah nak pastikan.

@fahmi_fadzil @khairulanwarka @anwaribrahim @mydsa_official @saifnasution 

#tweetmasadepan",kebocoran data peribadi sangat meluas selang sehari ada saja panggilan scammer  sampai panggilan sebenar atau scammer pun susah nak pastikan  tweetmasadepan,"['kebocoran', 'data', 'peribadi', 'sangat', 'meluas', 'selang', 'sehari', 'ada', 'saja', 'panggilan', 'scammer', 'sampai', 'panggilan', 'sebenar', 'atau', 'scammer', 'pun', 'susah', 'nak', 'pastikan', 'tweetmasadepan']","['kebocoran', 'data', 'peribadi', 'meluas', 'selang', 'sehari', 'panggilan', 'scammer', 'panggilan', 'sebenar', 'scammer', 'susah', 'nak', 'pastikan', 'tweetmasadepan']","['bocor', 'data', 'peribadi', 'luas', 'selang', 'hari', 'panggil', 'scammer', 'panggil', 'benar', 'scammer', 'susah', 'nak', 'pasti', 'tweetmasadepan']",bocor data peribadi luas selang hari panggil scammer panggil benar scammer susah nak pasti tweetmasadepan
2023-01-03 06:35:18+00:00,Kenapa bah ni makin lama makin byk unknown number call padahal ni no sikit ja orang tahu. Mmg betul la ada kebocoran data. Annoying la org call2 ni. Byk sudah no annoying sa block. Mengganggu betul.,kenapa bah ni makin lama makin byk unknown number call padahal ni no sikit ja orang tahu. mmg betul la ada kebocoran data. annoying la org call2 ni. byk sudah no annoying sa block. mengganggu betul.,kenapa bah ni makin lama makin byk unknown number call padahal ni no sikit ja orang tahu  mmg betul la ada kebocoran data  annoying la org call ni  byk sudah no annoying sa block  mengganggu betul ,"['kenapa', 'bah', 'ni', 'makin', 'lama', 'makin', 'byk', 'unknown', 'number', 'call', 'padahal', 'ni', 'no', 'sikit', 'ja', 'orang', 'tahu', 'mmg', 'betul', 'la', 'ada', 'kebocoran', 'data', 'annoying', 'la', 'org', 'call', 'ni', 'byk', 'sudah', 'no', 'annoying', 'sa', 'block', 'mengganggu', 'betul']","['bah', 'ni', 'byk', 'unknown', 'number', 'call', 'ni', 'no', 'sikit', 'ja', 'orang', 'mmg', 'la', 'kebocoran', 'data', 'annoying', 'la', 'org', 'call', 'ni', 'byk', 'no', 'annoying', 'sa', 'block', 'mengganggu']","['bah', 'ni', 'byk', 'unknown', 'number', 'call', 'ni', 'no', 'sikit', 'ja', 'orang', 'mmg', 'la', 'bocor', 'data', 'annoying', 'la', 'org', 'call', 'ni', 'byk', 'no', 'annoying', 'sa', 'block', 'ganggu']",bah ni byk unknown number call ni no sikit ja orang mmg la bocor data annoying la org call ni byk no annoying sa block ganggu
2023-01-03 04:58:15+00:00,"@kemkominfo assalamualaikum, maaf mengganggu, saya mau laporkan kebocoran data","@kemkominfo assalamualaikum, maaf mengganggu, saya mau laporkan kebocoran data", assalamualaikum  maaf mengganggu  saya mau laporkan kebocoran data,"['assalamualaikum', 'maaf', 'mengganggu', 'saya', 'mau', 'laporkan', 'kebocoran', 'data']","['assalamualaikum', 'maaf', 'mengganggu', 'laporkan', 'kebocoran', 'data']","['assalamualaikum', 'maaf', 'ganggu', 'lapor', 'bocor', 'data']",assalamualaikum maaf ganggu lapor bocor data
2023-01-03 04:36:19+00:00,Di Australia Juga Ada Kebocoran Data Telco Tapi Tindakbalasnya Berbeza! https://t.co/35ylyWVnkZ via @OMGHACKERS.COM,di australia juga ada kebocoran data telco tapi tindakbalasnya berbeza! https://t.co/35ylywvnkz via @omghackers.com,di australia juga ada kebocoran data telco tapi tindakbalasnya berbeza  via ,"['di', 'australia', 'juga', 'ada', 'kebocoran', 'data', 'telco', 'tapi', 'tindakbalasnya', 'berbeza', 'via']","['australia', 'kebocoran', 'data', 'telco', 'tindakbalasnya', 'berbeza', 'via']","['australia', 'bocor', 'data', 'telco', 'tindakbalasnya', 'berbeza', 'via']",australia bocor data telco tindakbalasnya berbeza via
2023-01-03 01:00:00+00:00,"Meskipun mendukung gagasan Satu Sehat, Rahmad juga menyoroti terkait isu kebocoran data pemerintah yang pernah terjadi beberapa waktu lalu. https://t.co/S5HDtbXzHK","meskipun mendukung gagasan satu sehat, rahmad juga menyoroti terkait isu kebocoran data pemerintah yang pernah terjadi beberapa waktu lalu. https://t.co/s5hdtbxzhk",meskipun mendukung gagasan satu sehat  rahmad juga menyoroti terkait isu kebocoran data pemerintah yang pernah terjadi beberapa waktu lalu  ,"['meskipun', 'mendukung', 'gagasan', 'satu', 'sehat', 'rahmad', 'juga', 'menyoroti', 'terkait', 'isu', 'kebocoran', 'data', 'pemerintah', 'yang', 'pernah', 'terjadi', 'beberapa', 'waktu', 'lalu']","['mendukung', 'gagasan', 'sehat', 'rahmad', 'menyoroti', 'terkait', 'isu', 'kebocoran', 'data', 'pemerintah']","['dukung', 'gagas', 'sehat', 'rahmad', 'sorot', 'kait', 'isu', 'bocor', 'data', 'perintah']",dukung gagas sehat rahmad sorot kait isu bocor data perintah
2023-01-02 13:58:11+00:00,"Berdalih ga bisa buka kamera karena di lock pihak it
Karena pernah ada kebocoran data perusahaan

Damn aku percaya https://t.co/dejPXpstjt","berdalih ga bisa buka kamera karena di lock pihak it
karena pernah ada kebocoran data perusahaan

damn aku percaya https://t.co/dejpxpstjt",berdalih ga bisa buka kamera karena di lock pihak it karena pernah ada kebocoran data perusahaan damn aku percaya ,"['berdalih', 'ga', 'bisa', 'buka', 'kamera', 'karena', 'di', 'lock', 'pihak', 'it', 'karena', 'pernah', 'ada', 'kebocoran', 'data', 'perusahaan', 'damn', 'aku', 'percaya']","['berdalih', 'buka', 'kamera', 'lock', 'it', 'kebocoran', 'data', 'perusahaan', 'damn', 'percaya']","['dalih', 'buka', 'kamera', 'lock', 'it', 'bocor', 'data', 'usaha', 'damn', 'percaya']",dalih buka kamera lock it bocor data usaha damn percaya
2023-01-02 13:12:01+00:00,"Banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi Anda - https://t.co/Et1BPuBvcd https://t.co/oex8USVJhp","banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi anda - https://t.co/et1bpubvcd https://t.co/oex8usvjhp",banyak kasus kebocoran data  ini tips ampuh menjaga data pribadi anda   ,"['banyak', 'kasus', 'kebocoran', 'data', 'ini', 'tips', 'ampuh', 'menjaga', 'data', 'pribadi', 'anda']","['kebocoran', 'data', 'tips', 'ampuh', 'menjaga', 'data', 'pribadi']","['bocor', 'data', 'tips', 'ampuh', 'jaga', 'data', 'pribadi']",bocor data tips ampuh jaga data pribadi
2023-01-02 08:04:01+00:00,"SoyaCincau BM

Siasatan Maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6bOEDEV","soyacincau bm

siasatan maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6boedev",soyacincau bm siasatan maybank sahkan tiada kebocoran data pelanggan berlaku  saat yang lalu   ,"['soyacincau', 'bm', 'siasatan', 'maybank', 'sahkan', 'tiada', 'kebocoran', 'data', 'pelanggan', 'berlaku', 'saat', 'yang', 'lalu']","['soyacincau', 'bm', 'siasatan', 'maybank', 'sahkan', 'tiada', 'kebocoran', 'data', 'pelanggan', 'berlaku']","['soyacincau', 'bm', 'siasat', 'maybank', 'sahkan', 'tiada', 'bocor', 'data', 'langgan', 'laku']",soyacincau bm siasat maybank sahkan tiada bocor data langgan laku
2023-01-02 08:02:57+00:00,"Kebocoran data pun ada scammer sekarang. Tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/aBGQoVNLtU","kebocoran data pun ada scammer sekarang. tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/abgqovnltu",kebocoran data pun ada scammer sekarang  tapi jangan leka  sentiasa waspada dengan sebarang aktiviti mencurigakan  ,"['kebocoran', 'data', 'pun', 'ada', 'scammer', 'sekarang', 'tapi', 'jangan', 'leka', 'sentiasa', 'waspada', 'dengan', 'sebarang', 'aktiviti', 'mencurigakan']","['kebocoran', 'data', 'scammer', 'leka', 'sentiasa', 'waspada', 'sebarang', 'aktiviti', 'mencurigakan']","['bocor', 'data', 'scammer', 'leka', 'sentiasa', 'waspada', 'sebarang', 'aktiviti', 'curiga']",bocor data scammer leka sentiasa waspada sebarang aktiviti curiga
