Datetime,Tweet,Prediction
2023-01-02 15:47:53+00:00,@Fatfatim3 Makan beling dong aing😵‍💫 Sa ae u bungkus kopimik😭😭,negative
2023-01-02 15:36:48+00:00,"Mo main Pokémon Go gagal login, mobel lejen kalah terus. Aku kudu piye😵‍💫😭",negative
2023-01-02 11:32:14+00:00,"atau mengumpulkan data pribadi atau keluarga mereka. Atau anak2 mungkin menggunakan mainan, aplikasi, atau perangkat dengan keamanan internet yang lemah, sehingga membuat mereka rentan terhadap pencurian identitas atau penipuan.",neutral
2023-01-02 02:23:39+00:00,@Lyana082 Banyak army yang masuk ke link itu? Bae bae pencurian data pribadi,negative
2022-12-31 15:22:04+00:00,@Fatfatim3 (((Tandonnya)))😭😭😭,negative
2022-12-31 15:20:05+00:00,@ilhamseptiawan B for banyak omong codot😡😡😡🥵,negative
2022-12-31 15:16:19+00:00,"@ilhamseptiawan Idih tak plotrokne boxermu. Jalan ke Jakarta jajan Timlo, banyak cakap lo ?!#%*",negative
2022-12-31 15:14:01+00:00,@ilhamseptiawan y bacot kadal,negative
2022-12-31 14:10:20+00:00,"Minim privasi -Dalam beberapa kasus, sistem database terpusat berbagi data pengguna dengan pihak ketiga. Karenanya, Mereka tidak memberikan privasi data pengguna

Rentan terhadap pencurian - Sistem terpusat rentan terhadap peretasan dan pencurian data, yang membuatnya kurang aman",neutral
2022-12-31 09:29:36+00:00,@nitysacc Mana ada gua koploan. Lo tuh playlist lo kroncong protol. Anyng haseo lo huft,negative
2022-12-31 04:45:54+00:00,Dan udan terus riii,negative
2022-12-31 03:35:58+00:00,"—- Pencurian Data oleh Sales @FirstMediaCares —-

Karna udah capek di DM selalu gadapet kepastian mungkin saatnya gua viralin ya.
Karna email dan SMS tagihan gua rame banget dari first media padahal gue gak langganan??? bingung gak kalian????",negative
2022-12-30 21:49:33+00:00,"@terrrrtawan @starfess dr pencurian data,ato biasanya byk bgt dr kalangan idol dpt terror telepon",negative
2022-12-30 18:03:27+00:00,Siap-siap playlist buat nanti di jalan huft https://t.co/RSOUji1sYV,neutral
2022-12-30 14:39:17+00:00,@ilhamseptiawan Idih siapa ya? Kita pernah jalan? Diem lo genjik lanang,neutral
2022-12-30 12:41:10+00:00,"Mo pegi kmn skrg kok was-was ya. Tiap buka medsos yg njedul di timeline pembacokan, pembegalan. Ngeri huhu.",neutral
2022-12-30 11:27:58+00:00,"Sistem penyimpanan data dengan keamanan yang tinggi, membuat teknologi Blockchain berperan sebagai alat untuk meminimalisir terjadi kerusakan atau pencurian data di masa yang akan datang.",neutral
2022-12-30 08:46:48+00:00,"#BeritaSampit
Narkotika dan Pencurian Dominasi Tindak Pidana yang Ditangani PN Sampit https://t.co/B3vGHFEaGi SAMPIT - Pengadilan Negeri Sampit Kelas IB merilis Data Rekapitulasi Perkara Pidan... https://t.co/tOSll7zcNg",neutral
2022-12-30 07:40:22+00:00,"@ariapanca @txtfrombrand Awas scammer nder, kripto, nft, pencurian data, gajauh2 dri itu",neutral
2022-12-30 07:28:06+00:00,"@whiskeynuna Dr pihak sebelah sana soalnya nuntut pencurian data dari “private property”.. which is secara ga langsung kasi statement itu dr gadget yg bersangkutan langsung.
Aneh.",negative
2022-12-29 23:27:45+00:00,"@hanifkate Maaf typo, maaf dibajak, maaf aku saiiank qm. Hiyek!!?!",negative
2022-12-29 23:27:03+00:00,@ilhamseptiawan Gblk sia ih,negative
2022-12-29 14:12:33+00:00,Pencurian Data Pribadi Ada Hubungannya dengan Pemilu? Emang Iya? #shorts https://t.co/ymXxRt1J0Z,negative
2022-12-29 09:49:36+00:00,"Kasus pencurian kendaraan bermotor semakin marak terjadi.

Menurut data Polri, di tahun 2022 tindak pidana curanmor tembus hingga 13.600 kasus. Dimana kasus terbesar ada di wilayah Jawa Barat sebanyak 2.255 kasus, disusul Jawa Timur 1.406 kasus dan DKI Jakarta dengan 784 kasus. https://t.co/wNvuFkBn9J",neutral
2022-12-29 04:50:30+00:00,"@hayyyelma Hai Kak, mimin bantu cek no memang masih aktif, terkait dengan pengecekan nomer penipuan atau pencurian data bisa konfirmasi terlebih dulu ke layanan contact center PPI : 
- Twitter : @aduanPPI
- Live chat : https://t.co/DCjXWO8U5D

Terimakasih. Salam^Beti",neutral
2022-12-29 02:53:49+00:00,"#sobatkominfo 

Di era banyaknya pencurian identitas &amp; akun secara digital, maka perlindungan ekstra diperlukan.

Password merupakan sesuatu yg wajib di era digital, mulai dari perangkat ponsel, jejaring sosial, komputer &amp; data perbankan, semuanya terlindungi oleh kata sandi ini. https://t.co/hTmhESiq0J",neutral
2022-12-28 16:12:01+00:00,@hanifkate Telolet woy huft,negative
2022-12-28 11:00:08+00:00,"Jaman sekarang kudu Lebih pinter dan hati2, banyak penipuan dan pencurian data,ayo jadi orang yg bijak dan waspada
Movement Menolak Penipuan 
#TolakDenganAnggun 
#AwasModus",negative
