Datetime,Tweet,Prediction
2023-01-03 13:21:33+00:00,"Awas Kebocoran Data, Ini 7 Cara Mencegah Phishing https://t.co/ePBvk0rklg",negative
2023-01-03 06:41:49+00:00,"Kebocoran data peribadi sangat meluas selang sehari ada saja panggilan scammer. 
sampai panggilan sebenar atau scammer pun susah nak pastikan.

@fahmi_fadzil @khairulanwarKA @anwaribrahim @MyDSA_official @saifnasution 

#TweetMasaDepan",negative
2023-01-03 06:35:18+00:00,Kenapa bah ni makin lama makin byk unknown number call padahal ni no sikit ja orang tahu. Mmg betul la ada kebocoran data. Annoying la org call2 ni. Byk sudah no annoying sa block. Mengganggu betul.,negative
2023-01-03 04:58:15+00:00,"@kemkominfo assalamualaikum, maaf mengganggu, saya mau laporkan kebocoran data",negative
2023-01-03 04:36:19+00:00,Di Australia Juga Ada Kebocoran Data Telco Tapi Tindakbalasnya Berbeza! https://t.co/35ylyWVnkZ via @OMGHACKERS.COM,neutral
2023-01-03 01:00:00+00:00,"Meskipun mendukung gagasan Satu Sehat, Rahmad juga menyoroti terkait isu kebocoran data pemerintah yang pernah terjadi beberapa waktu lalu. https://t.co/S5HDtbXzHK",neutral
2023-01-02 13:58:11+00:00,"Berdalih ga bisa buka kamera karena di lock pihak it
Karena pernah ada kebocoran data perusahaan

Damn aku percaya https://t.co/dejPXpstjt",negative
2023-01-02 13:12:01+00:00,"Banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi Anda - https://t.co/Et1BPuBvcd https://t.co/oex8USVJhp",positive
2023-01-02 08:04:01+00:00,"SoyaCincau BM

Siasatan Maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6bOEDEV",neutral
2023-01-02 08:02:57+00:00,"Kebocoran data pun ada scammer sekarang. Tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/aBGQoVNLtU",negative
2023-01-02 07:56:46+00:00,"2 kali kena semprot sama bos dikira belom bayar tagihan telkom 😒
Pdhal gara2 telkom kebocoran data ini nih. Elah.",negative
2023-01-02 04:27:03+00:00,"@bachrum_achmadi Nasdem Sama aja kadernya bego
ngurus kebocoran data aja GOBLOK",negative
