Tweet,Sentiment,Casefolding,Cleansing,Tokenizing,Stopword,Stemming,Dataclean
"@javminded Urusan kebocoran data pengguna itu nomor sekian, giliran ginian cepet. emang itu kementrian isinya orang2 gubluk bin tolol",negative,"@javminded urusan kebocoran data pengguna itu nomor sekian, giliran ginian cepet. emang itu kementrian isinya orang2 gubluk bin tolol", urusan kebocoran data pengguna itu nomor sekian  giliran ginian cepet  emang itu kementrian isinya orang gubluk bin tolol,"['urusan', 'kebocoran', 'data', 'pengguna', 'itu', 'nomor', 'sekian', 'giliran', 'ginian', 'cepet', 'emang', 'itu', 'kementrian', 'isinya', 'orang', 'gubluk', 'bin', 'tolol']","['urusan', 'kebocoran', 'data', 'pengguna', 'nomor', 'sekian', 'giliran', 'ginian', 'cepet', 'emang', 'kementrian', 'isinya', 'orang', 'gubluk', 'bin', 'tolol']","['urus', 'bocor', 'data', 'guna', 'nomor', 'sekian', 'gilir', 'ginian', 'cepet', 'emang', 'tri', 'isi', 'orang', 'gubluk', 'bin', 'tolol']",urus bocor data guna nomor sekian gilir ginian cepet emang tri isi orang gubluk bin tolol
"Pada dasarnya #bjorka hanya orang tolol yang cari perhatian ????????
Ngapain lu sok2an nyebar kebocoran data Indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah.  ????????",negative,"pada dasarnya #bjorka hanya orang tolol yang cari perhatian ????????
ngapain lu sok2an nyebar kebocoran data indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah.  ????????",pada dasarnya bjorka hanya orang tolol yang cari perhatian          ngapain lu sokan nyebar kebocoran data indonesia yg security nya lemah dan pada dasarnya udah bocor sebelum lu berulah          ,"['pada', 'dasarnya', 'bjorka', 'hanya', 'orang', 'tolol', 'yang', 'cari', 'perhatian', 'ngapain', 'lu', 'sokan', 'nyebar', 'kebocoran', 'data', 'indonesia', 'yg', 'security', 'nya', 'lemah', 'dan', 'pada', 'dasarnya', 'udah', 'bocor', 'sebelum', 'lu', 'berulah']","['dasarnya', 'bjorka', 'orang', 'tolol', 'cari', 'perhatian', 'ngapain', 'lu', 'sokan', 'nyebar', 'kebocoran', 'data', 'indonesia', 'security', 'lemah', 'dasarnya', 'udah', 'bocor', 'lu', 'berulah']","['dasar', 'bjorka', 'orang', 'tolol', 'cari', 'perhati', 'ngapain', 'lu', 'sok', 'nyebar', 'bocor', 'data', 'indonesia', 'security', 'lemah', 'dasar', 'udah', 'bocor', 'lu', 'ulah']",dasar bjorka orang tolol cari perhati ngapain lu sok nyebar bocor data indonesia security lemah dasar udah bocor lu ulah
"@cauliflower1006 @folktrade @Askrlfess Iya mbak, namanya juga masyarakat kita sekarang lagi pd kecewa2 nya sama pemerintah gara2 bbm dinaikin, kasus sambo, belum lg yg kebocoran data, digiring opini sedikit ya udh duaarr???Å
Padahal udh dr dulu jg shell s",negative,"@cauliflower1006 @folktrade @askrlfess iya mbak, namanya juga masyarakat kita sekarang lagi pd kecewa2 nya sama pemerintah gara2 bbm dinaikin, kasus sambo, belum lg yg kebocoran data, digiring opini sedikit ya udh duaarr???Å
padahal udh dr dulu jg shell s", iya mbak  namanya juga masyarakat kita sekarang lagi pd kecewa nya sama pemerintah gara bbm dinaikin  kasus sambo  belum lg yg kebocoran data  digiring opini sedikit ya udh duaarr     padahal udh dr dulu jg shell s,"['iya', 'mbak', 'namanya', 'juga', 'masyarakat', 'kita', 'sekarang', 'lagi', 'pd', 'kecewa', 'nya', 'sama', 'pemerintah', 'gara', 'bbm', 'dinaikin', 'kasus', 'sambo', 'belum', 'lg', 'yg', 'kebocoran', 'data', 'digiring', 'opini', 'sedikit', 'ya', 'udh', 'duaarr', 'padahal', 'udh', 'dr', 'dulu', 'jg', 'shell', 's']","['iya', 'mbak', 'namanya', 'masyarakat', 'pd', 'kecewa', 'pemerintah', 'gara', 'bbm', 'dinaikin', 'sambo', 'kebocoran', 'data', 'digiring', 'opini', 'duaarr', 'shell']","['iya', 'mbak', 'nama', 'masyarakat', 'pd', 'kecewa', 'perintah', 'gara', 'bbm', 'dinaikin', 'sambo', 'bocor', 'data', 'giring', 'opini', 'duaarr', 'shell']",iya mbak nama masyarakat pd kecewa perintah gara bbm dinaikin sambo bocor data giring opini duaarr shell
"Seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi....

Sekarang semakin melebar kan banyak idol lain juga kena",negative,"seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi....

sekarang semakin melebar kan banyak idol lain juga kena",seperti yg gw bilang fokus disini tuh emang harusnya soal kebocoran data pribadi     sekarang semakin melebar kan banyak idol lain juga kena,"['seperti', 'yg', 'gw', 'bilang', 'fokus', 'disini', 'tuh', 'emang', 'harusnya', 'soal', 'kebocoran', 'data', 'pribadi', 'sekarang', 'semakin', 'melebar', 'kan', 'banyak', 'idol', 'lain', 'juga', 'kena']","['fokus', 'emang', 'kebocoran', 'data', 'pribadi', 'melebar', 'idol', 'kena']","['fokus', 'emang', 'bocor', 'data', 'pribadi', 'lebar', 'idol', 'kena']",fokus emang bocor data pribadi lebar idol kena
kebocoran data :( https://t.co/jhjl4k4jBf,negative,kebocoran data :( https://t.co/jhjl4k4jbf,kebocoran data    ,"['kebocoran', 'data']","['kebocoran', 'data']","['bocor', 'data']",bocor data
"@AswinDafry Kebocoran data bs dr mana aja sih, padahal ga pernah pake pinjol ilegal. Satu2nya pinjol cm kredivo doang.",negative,"@aswindafry kebocoran data bs dr mana aja sih, padahal ga pernah pake pinjol ilegal. satu2nya pinjol cm kredivo doang.", kebocoran data bs dr mana aja sih  padahal ga pernah pake pinjol ilegal  satunya pinjol cm kredivo doang ,"['kebocoran', 'data', 'bs', 'dr', 'mana', 'aja', 'sih', 'padahal', 'ga', 'pernah', 'pake', 'pinjol', 'ilegal', 'satunya', 'pinjol', 'cm', 'kredivo', 'doang']","['kebocoran', 'data', 'bs', 'pake', 'pinjol', 'ilegal', 'satunya', 'pinjol', 'kredivo', 'doang']","['bocor', 'data', 'bs', 'pake', 'pinjol', 'ilegal', 'satu', 'pinjol', 'kredivo', 'doang']",bocor data bs pake pinjol ilegal satu pinjol kredivo doang
Kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan @kemkominfo @PlateJohnny https://t.co/9RZueYfy9P,negative,kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan @kemkominfo @platejohnny https://t.co/9rzueyfy9p,kebocoran data bisa berdampak pada kejahatan siber lain yang merugikan seperti kejahatan transaksi keuangan ,"['kebocoran', 'data', 'bisa', 'berdampak', 'pada', 'kejahatan', 'siber', 'lain', 'yang', 'merugikan', 'seperti', 'kejahatan', 'transaksi', 'keuangan']","['kebocoran', 'data', 'berdampak', 'kejahatan', 'siber', 'merugikan', 'kejahatan', 'transaksi', 'keuangan']","['bocor', 'data', 'dampak', 'jahat', 'siber', 'rugi', 'jahat', 'transaksi', 'uang']",bocor data dampak jahat siber rugi jahat transaksi uang
"Sikampret keknya gegara kebocoran data, akun steam gw dicoba dibobol orang, 2 kali

Two-factor authentication emang perlu banget sekarang dipake di akun mana aja https://t.co/B8dNpRle8Y",negative,"sikampret keknya gegara kebocoran data, akun steam gw dicoba dibobol orang, 2 kali

two-factor authentication emang perlu banget sekarang dipake di akun mana aja https://t.co/b8dnprle8y",sikampret keknya gegara kebocoran data  akun steam gw dicoba dibobol orang   kali two factor authentication emang perlu banget sekarang dipake di akun mana aja ,"['sikampret', 'keknya', 'gegara', 'kebocoran', 'data', 'akun', 'steam', 'gw', 'dicoba', 'dibobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'perlu', 'banget', 'sekarang', 'dipake', 'di', 'akun', 'mana', 'aja']","['sikampret', 'keknya', 'gegara', 'kebocoran', 'data', 'akun', 'steam', 'dicoba', 'dibobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'banget', 'dipake', 'akun']","['sikampret', 'kek', 'gegara', 'bocor', 'data', 'akun', 'steam', 'coba', 'bobol', 'orang', 'kali', 'two', 'factor', 'authentication', 'emang', 'banget', 'dipake', 'akun']",sikampret kek gegara bocor data akun steam coba bobol orang kali two factor authentication emang banget dipake akun
@yourpadawann @mouldie_sep Kebocoran sejumlah websiteÉ?ù indo jadi ikut andil buat kebocoran data.,negative,@yourpadawann @mouldie_sep kebocoran sejumlah websiteÉ?ù indo jadi ikut andil buat kebocoran data., kebocoran sejumlah website    indo jadi ikut andil buat kebocoran data ,"['kebocoran', 'sejumlah', 'website', 'indo', 'jadi', 'ikut', 'andil', 'buat', 'kebocoran', 'data']","['kebocoran', 'website', 'indo', 'andil', 'kebocoran', 'data']","['bocor', 'website', 'indo', 'andil', 'bocor', 'data']",bocor website indo andil bocor data
"Criminal Minds: memanfaatkan kebocoran data melalui big data. 

KBI 2022 @idBigData https://t.co/suMvXTFyiH",negative,"criminal minds: memanfaatkan kebocoran data melalui big data. 

kbi 2022 @idbigdata https://t.co/sumvxtfyih",criminal minds  memanfaatkan kebocoran data melalui big data  kbi  ,"['criminal', 'minds', 'memanfaatkan', 'kebocoran', 'data', 'melalui', 'big', 'data', 'kbi']","['criminal', 'minds', 'memanfaatkan', 'kebocoran', 'data', 'big', 'data', 'kbi']","['criminal', 'minds', 'manfaat', 'bocor', 'data', 'big', 'data', 'kbi']",criminal minds manfaat bocor data big data kbi
