Datetime,Tweet Id,Tweet,Lang,Username
2023-01-10 05:39:31+00:00,1612685547331547136,"@tribunnews Ya itu Partai Anak Kecil... Ya munafik. Tidak punya prinsip.

Toh Menteri nya saja yg rada idiot kan waktu kebocoran data kemarin.",in,Bambang48835243
2023-01-09 15:40:50+00:00,1612474484715573254,"@anima Belum lagi isu keamanan data kalo pake wifi publik, giliran kebocoran aja langsung teriak2 Bjorka bjorka",in,DennySeggssegar
2023-01-09 11:21:03+00:00,1612409108891865090,"Oleh karena itu, penting bagi kita semua untuk terlebih dahulu mengenali apa saja penyebab dari kebocoran data. 

Ingin tahu apa saja? Yuk disimak informasi berikut! https://t.co/g2zQYpAdb9",in,TelkomBC
2023-01-09 11:19:58+00:00,1612408835964297216,"Dampak terburuk yang mungkin bisa terjadi karena kebocoran data di perusahaan atau organisasi yaitu hilangnya kepercayaan publik, reputasi, denda, dan bahkan dapat menimbulkan tuntutan hukum.",in,TelkomBC
2023-01-09 05:02:29+00:00,1612313841463066624,@501Awani Semua pihak harus bekerjasama membendung jenayah siber untuk menjamin kebocoran data individu dan sesuatu organisasi.,in,krmarif97
2023-01-08 22:12:34+00:00,1612210680287072256,"#PartaiDemokrat: RUU PDP sangat penting untuk segera disahkan menjadi UU, agar masyarakat terlindungi dari kebocoran &amp; penyebaran data pribadi",in,dwikiprazz
2023-01-08 06:07:02+00:00,1611967694919860224,"@detikcom setau saya aplikasi mobile, ATM, pengisian uang ATM sampai maintenace di pihak ke 3an oleh bank2 BUMN, jadi terima bersih saja bank nya, ganti rugi, kebocoran data dll otomatis ditanggung vendor yg ditunjuk, beda sama bank swasta yg dikelola sama orang terkaya di Indonesia.",in,DimasAdityasam
2023-01-08 03:40:08+00:00,1611930728165691392,Mencegah kebocoran data melalui penerapan standar keamanan informasi ISO 27001 https://t.co/FQ0hZPn4O9,in,zulnasution
2023-01-08 02:51:58+00:00,1611918606237069312,"Komentar: Bukan data, atau koordinat yang menjadi rahasia seperti yg mereka katakan ttg kebocoran informasi. Akan tetapi yang lebih bahaya adalah kebocoran teknologi. Jika China sedikit cerdik, mereka bongkar rudal tsb, dan menelusuri seluruh infomrasi komponen yang digunakan.",in,bdleonanda
2023-01-07 22:37:16+00:00,1611854507536945152,Inilah antara bahaya kebocoran data. https://t.co/SH5cKXIsTs,in,PendakwahTekno
2023-01-07 15:39:02+00:00,1611749258881019904,MPK sanggah dakwaan kebocoran data di laman sesawang https://t.co/V2iRCMRQf3,in,Media_Selangor
2023-01-07 15:33:53+00:00,1611747963495219200,"Majlis Perbandaran Klang (MPK) menafikan dakwaan yang tular di media sosial berlakunya kebocoran data daripada sumber laman sesawangnya.

https://t.co/kxEh1pYdMj",in,Media_Selangor
2023-01-07 10:03:05+00:00,1611664712189595649,#Terpopuler Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/DpfV85a7ZL,in,detikinet
2023-01-07 00:30:30+00:00,1611520617768943625,"Twitter baru saja mengalami kebocoran data 235 juta penggunanya dan oleh acker disebar cuma-cuma di forum gelap
https://t.co/MF0HMlhbrQ",in,idx_channel
2023-01-06 12:08:07+00:00,1611333789082587137,Gal berujar bahwa peretasan yang terjadi di Twitter tersebut adalah salah satu kebocoran data paling besar yang pernah dia lihat. https://t.co/qKMps0gxWU,in,kompascom
2023-01-06 09:04:44+00:00,1611287639386120193,Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/Gima1wgv5P,in,detikinet
2023-01-06 08:35:59+00:00,1611280407084896258,"Lagi-lagi dilanda kebocoran data, alamat email milik 200 juta pengguna Twitter dijual di forum hacker senilai Rp30 ribuan.  https://t.co/bJpN5QcB6n",in,detikcom
2023-01-06 06:40:37+00:00,1611251373684977666,"Lewat MyPertamina, subsidi BBM bersubsidi dari Pertamina akan tepat sasaran dan terdata dengan sistem yang canggih dan anti  kebocoran data pelanggan. Hingga masyarakat akan menikmati subsidi yang telat sasaran.

#HakMasyarakatTepatGuna #HakMasyarakatTepatSasaran @pertamina https://t.co/otebcqWEd5",in,Salvok15
2023-01-06 05:33:37+00:00,1611234510129233922,"Masalah keselamatan Twitter meningkat dengan tuntutan kebocoran data pengguna - https://t.co/VqAw03aFpE
Pengguna tanpa nama di forum penggodam telah menerbitkan pangkalan data besar yang mereka",in,BeritakiniB
2023-01-05 23:45:29+00:00,1611146901243531264,Tahun 2022 ini sempat digegerkan oleh berbagai kasus kebocoran data. Bahkan hal ini diduga terjadi pada lembaga-lembaga besar di Indonesia. https://t.co/jZcTxp6KbB,in,detikfinance
2023-01-05 18:58:58+00:00,1611074797475332096,"@CNNIndonesia Johnny Plat G aka Johnny Tegal
Harusnya mundur pas kemarin kebocoran data biar keren 🤣 https://t.co/Jr7JAH58Rl",in,jajaramdani
2023-01-05 18:53:50+00:00,1611073506154024960,"Adakah alamat email anda terlibat dengan insiden kebocoran data? Semak disini:
https://t.co/W5KBWDMNo6 https://t.co/LPmKfJgDl7",in,PendakwahTekno
2023-01-05 16:28:57+00:00,1611037041680347136,@bctbetlau_ @IndiHome Wah kebocoran data bang. Aku aja cuman 1 https://t.co/Y6fOGpwMag,in,aryonovianto99
2023-01-05 14:54:28+00:00,1611013266993733632,"Harap YB @fahmi_fadzil boleh highlight kan kpd agensi yg berkenaan mengenai kebocoran data ini.

Kritikal ni kalau betul, sebab kebanyakkan adalah dari .gov sendiri.

Yg ini katanya dari @MOHEOfficial https://t.co/iLpeW6ZRTC",in,noob_kiddiez
2023-01-05 14:31:59+00:00,1611007607803875329,"Mundur sajalah. Malah ngga karuan. Ngga bisa ngatasi masalah. Salah salahan. Kebocoran data, Mengacau tarif surat menyurat... Hhhh https://t.co/tHEoaHkjcP",in,hananovi
