Datetime,Tweet,Prediction
2023-01-09 15:40:50+00:00,"@anima Belum lagi isu keamanan data kalo pake wifi publik, giliran kebocoran aja langsung teriak2 Bjorka bjorka",neutral
2023-01-09 11:21:03+00:00,"Oleh karena itu, penting bagi kita semua untuk terlebih dahulu mengenali apa saja penyebab dari kebocoran data. 

Ingin tahu apa saja? Yuk disimak informasi berikut! https://t.co/g2zQYpAdb9",negative
2023-01-09 11:19:58+00:00,"Dampak terburuk yang mungkin bisa terjadi karena kebocoran data di perusahaan atau organisasi yaitu hilangnya kepercayaan publik, reputasi, denda, dan bahkan dapat menimbulkan tuntutan hukum.",negative
2023-01-09 05:02:29+00:00,@501Awani Semua pihak harus bekerjasama membendung jenayah siber untuk menjamin kebocoran data individu dan sesuatu organisasi.,negative
2023-01-08 22:12:34+00:00,"#PartaiDemokrat: RUU PDP sangat penting untuk segera disahkan menjadi UU, agar masyarakat terlindungi dari kebocoran &amp; penyebaran data pribadi",neutral
2023-01-08 06:07:02+00:00,"@detikcom setau saya aplikasi mobile, ATM, pengisian uang ATM sampai maintenace di pihak ke 3an oleh bank2 BUMN, jadi terima bersih saja bank nya, ganti rugi, kebocoran data dll otomatis ditanggung vendor yg ditunjuk, beda sama bank swasta yg dikelola sama orang terkaya di Indonesia.",negative
2023-01-08 03:40:08+00:00,Mencegah kebocoran data melalui penerapan standar keamanan informasi ISO 27001 https://t.co/FQ0hZPn4O9,neutral
2023-01-08 02:51:58+00:00,"Komentar: Bukan data, atau koordinat yang menjadi rahasia seperti yg mereka katakan ttg kebocoran informasi. Akan tetapi yang lebih bahaya adalah kebocoran teknologi. Jika China sedikit cerdik, mereka bongkar rudal tsb, dan menelusuri seluruh infomrasi komponen yang digunakan.",neutral
2023-01-07 22:37:16+00:00,Inilah antara bahaya kebocoran data. https://t.co/SH5cKXIsTs,negative
2023-01-07 15:39:02+00:00,MPK sanggah dakwaan kebocoran data di laman sesawang https://t.co/V2iRCMRQf3,negative
2023-01-07 15:33:53+00:00,"Majlis Perbandaran Klang (MPK) menafikan dakwaan yang tular di media sosial berlakunya kebocoran data daripada sumber laman sesawangnya.

https://t.co/kxEh1pYdMj",negative
2023-01-07 10:03:05+00:00,#Terpopuler Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/DpfV85a7ZL,neutral
2023-01-07 00:30:30+00:00,"Twitter baru saja mengalami kebocoran data 235 juta penggunanya dan oleh acker disebar cuma-cuma di forum gelap
https://t.co/MF0HMlhbrQ",neutral
2023-01-06 12:08:07+00:00,Gal berujar bahwa peretasan yang terjadi di Twitter tersebut adalah salah satu kebocoran data paling besar yang pernah dia lihat. https://t.co/qKMps0gxWU,negative
2023-01-06 09:04:44+00:00,Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/Gima1wgv5P,neutral
2023-01-06 08:35:59+00:00,"Lagi-lagi dilanda kebocoran data, alamat email milik 200 juta pengguna Twitter dijual di forum hacker senilai Rp30 ribuan.  https://t.co/bJpN5QcB6n",neutral
2023-01-06 06:40:37+00:00,"Lewat MyPertamina, subsidi BBM bersubsidi dari Pertamina akan tepat sasaran dan terdata dengan sistem yang canggih dan anti  kebocoran data pelanggan. Hingga masyarakat akan menikmati subsidi yang telat sasaran.

#HakMasyarakatTepatGuna #HakMasyarakatTepatSasaran @pertamina https://t.co/otebcqWEd5",neutral
2023-01-06 05:33:37+00:00,"Masalah keselamatan Twitter meningkat dengan tuntutan kebocoran data pengguna - https://t.co/VqAw03aFpE
Pengguna tanpa nama di forum penggodam telah menerbitkan pangkalan data besar yang mereka",neutral
2023-01-05 23:45:29+00:00,Tahun 2022 ini sempat digegerkan oleh berbagai kasus kebocoran data. Bahkan hal ini diduga terjadi pada lembaga-lembaga besar di Indonesia. https://t.co/jZcTxp6KbB,negative
2023-01-05 18:58:58+00:00,"@CNNIndonesia Johnny Plat G aka Johnny Tegal
Harusnya mundur pas kemarin kebocoran data biar keren 🤣 https://t.co/Jr7JAH58Rl",neutral
2023-01-05 18:53:50+00:00,"Adakah alamat email anda terlibat dengan insiden kebocoran data? Semak disini:
https://t.co/W5KBWDMNo6 https://t.co/LPmKfJgDl7",neutral
2023-01-05 16:28:57+00:00,@bctbetlau_ @IndiHome Wah kebocoran data bang. Aku aja cuman 1 https://t.co/Y6fOGpwMag,negative
2023-01-05 14:54:28+00:00,"Harap YB @fahmi_fadzil boleh highlight kan kpd agensi yg berkenaan mengenai kebocoran data ini.

Kritikal ni kalau betul, sebab kebanyakkan adalah dari .gov sendiri.

Yg ini katanya dari @MOHEOfficial https://t.co/iLpeW6ZRTC",negative
2023-01-05 14:31:59+00:00,"Mundur sajalah. Malah ngga karuan. Ngga bisa ngatasi masalah. Salah salahan. Kebocoran data, Mengacau tarif surat menyurat... Hhhh https://t.co/tHEoaHkjcP",negative
2023-01-05 13:55:30+00:00,"@FirstMediaCares udah 3 hari inet down gada tindak lanjut, hari ini gaidup juga besok pasang provider lain, oiya apa ada kebocoran data? tiba2 fb pribadi di hack td mlm, instagram juga tapi instagram bisa selamat, mudah2an gada hubungan nya.",negative
2023-01-05 13:22:21+00:00,"@FirstMediaCares halo apakah firstmedia terjadi kebocoran data? Karena saya di tlp dengan nomor tak di kenal dan mengetahui data data saya di first media. Seperti email, biaya bulanan, dan paket yg saya pakai. Tolong tindak lanjutnya.",neutral
2023-01-05 12:05:58+00:00,@idcryp_to @nusa_finance Bagaimana keamanan yang ditawarkan oleh nusa finance apabila terjadi kebocoran data ataupun hacker yang menyebabkan kehilangan dana dr investor? Apa ada ganti rugi/ jaminan? Terima kasih,negative
2023-01-05 12:05:50+00:00,@idcryp_to Bagaimana keamanan yang ditawarkan oleh nusa finance apabila terjadi kebocoran data ataupun hacker yang menyebabkan kehilangan dana dr investor? Apa ada ganti rugi/ jaminan? Terima kasih,negative
2023-01-05 11:40:01+00:00,"Pastikan kamu hanya mengumpulkan dan memproses data yang kamu perlukan. 

Semakin banyak data yang kamu kumpulkan dan proses, semakin berat tanggung jawab kamu untuk melindungi data tersebut dari kebocoran dan penyalahgunaan privasi seseorang.

#UUPDP",negative
2023-01-05 11:20:09+00:00,"Pemilu Setahun Lagi, Adakah Upaya Kebocoran Data Pemilih? https://t.co/zscO3gbqCR https://t.co/owUmJLB0Fu",neutral
2023-01-05 10:58:17+00:00,"Muak banget sama orang-orang yang ngelabel perusahaan dan pekerjanya sebagai sesuatu yang jahat 

Padahal bisa aja asal kebocoran itu berasal dari kontrak yang dilanggar atau data breach?",negative
2023-01-05 10:28:54+00:00,"@CNNIndonesia Harusnya pas kebocoran data dia mundur, itu akan lebih berkesan dan diingat oleh masyarakat, kalau skrng mundur yg ada jdi cibiran "" kenapa ga dari kemarn2 u mundur""",negative
2023-01-05 10:26:19+00:00,"@ChacaVarma Benar untuk nomor telepon 02130484888 merupakan pihak telemarketing BCA Life Bapak/Ibu Pelanggan. Tidak secara diam-diam karena membutuhkan persetujuan dan kelengkapan data nasabah. Telemarketing asuransi merupakan Telemarketing BCA, sehingga tidak ada kebocoran (1/2) ^Pallefi",negative
2023-01-05 08:51:54+00:00,"#PmrRompin | Siasatan Dakwaan Kebocoran Data Maklumat Pengguna

#JabatanPenerangan
#PhgKoi #CmsPhg
#Januari2023 https://t.co/6qY42NMLeu",negative
2023-01-05 07:33:03+00:00,"Kerajaan perlu telus selesaikan isu kebocoran data, kata TI-M https://t.co/Z0Zy3hITzq",neutral
2023-01-05 06:59:04+00:00,"Kasus Kebocoran Data, 235 Juta Informasi Pengguna Twitter Terekspos di Internet https://t.co/Y6CJ77GtsR",neutral
2023-01-05 03:10:38+00:00,"SurfShark: 5,34 Miliar Akun Alami Kebocoran Data pada 2022 https://t.co/4MCoWZnpxt",neutral
2023-01-05 02:48:49+00:00,"@AnakLolina2 @ApriliaLin @PlateJohnny Lahh malah menteri ini yg kinerjanya paling ambyaar:

1. Internet Indonesia tetap yg paling lemot di Asia Tenggara
2. Banyak kasus kebocoran data
3. Penyebaran HOAX masih massif",negative
2023-01-04 23:19:44+00:00,Tahun 2022 ini sempat digegerkan oleh berbagai kasus kebocoran data. Bahkan hal ini diduga terjadi pada lembaga-lembaga besar di Indonesia. https://t.co/nOEYZ7kzEd,negative
2023-01-04 23:19:33+00:00,Rentetan Kasus Kebocoran Data PLN-Indihome yang Bikin Geger di 2022 https://t.co/QqUkZp44GI,neutral
2023-01-04 15:30:49+00:00,@srikandimasjuna aku baru pertama kalii dapet begini dan dikirimnya juga ke alamat kos bukan alamat rumah. curiga ada data dari salah satu e-commerce yang bocor tapi yaa emg beberapa e-commerce udh punya beritanya sendiri ttg kebocoran data kan... jadi sdikit🤏 ga heran tapi tetep khawatir😭,negative
2023-01-04 05:05:51+00:00,@zweetheart Salam Sahabat. Mohon maaf atas ketidaknyamanannya. Riwayat layanan kesehatan pada Mobile JKN ditutup dengan tanda bintang untuk menjaga privasi dan mencegah kebocoran data peserta. Terima kasih. :) -rein,neutral
2023-01-04 03:14:48+00:00,"Soal Transformasi PeduliLindungi, Anggota Komisi IX DPR Ingatkan Soal Kebocoran Data

https://t.co/qVRIdzqyKf",neutral
